"le" "costs" "effects" "trt.costs" "trt.effects"
"Overall" 3.338 248490.947 3.188 290256.343 3.216
"Overall lower 95%" 3.087 228521.902 2.958 267279.699 2.983
"Overall upper 95%" 3.609 266356.066 3.422 312887.031 3.461
"In Trial" 0.941 70020.104 0.932 81936.51 0.934
"Trial lower 95%" 0.928 68409.493 0.919 79848.05 0.922
"Trial upper 95%" 0.95 71985.854 0.942 83932.59 0.943
"Extrapolated" 2.397 178470.844 2.256 208319.833 2.281
"Extrapolated lower 95%" 2.152 158975.56 2.034 185639.51 2.057
"Extrapolated upper 95%" 2.661 196495.094 2.483 229622.715 2.52
