"le" "costs" "effects" "trt.costs" "trt.effects"
6.61758333333333 658223.455121128 5.30929547795439 687779.975343946 5.84411514470195
6.17416666666667 668531.377007108 5.04563666042337 686577.6389627 5.52467603076772
6.14666666666667 494206.129012961 5.03989843683623 597214.22731872 5.50502061300317
5.97316666666667 604210.363616902 4.88917910410431 585900.312586279 5.36847738968826
5.7725 543929.379528903 4.80831949107255 632549.490413733 5.22699113677598
5.73425 461017.529852562 4.81262224429113 657747.239998946 5.19643793098232
5.992 509904.223886928 4.93489788274223 696145.319019056 5.39776798677224
5.94066666666667 483630.062669152 4.81799198608574 702607.828931664 5.29132923284115
6.17491666666667 611653.12282353 5.04064049673946 618436.441617882 5.50083435909428
5.84358333333333 565555.338890856 4.74937578003126 611045.603567704 5.22310493808788
5.51683333333333 494533.374415934 4.59035000373515 729002.717791594 4.99428433244788
4.8295 441300.966676575 4.1468354905242 543379.917101257 4.45432964177967
6.15783333333333 676585.085728745 4.98743862834943 783830.958897451 5.48127565364774
6.77033333333333 725240.983818306 5.31557493664112 853011.129724861 5.90400981038476
6.64425 634006.222672657 5.30908129235453 743793.159711507 5.86221487533066
5.88225 604390.071072019 4.81287671949495 734462.552938663 5.27224235859718
6.49791666666667 610782.425264805 5.23131766252446 805469.586708796 5.75044264199464
6.6095 573452.297392909 5.29140598166195 826997.129518038 5.83810842878139
6.9045 678261.749315277 5.49523203681914 729963.168170881 6.08328385207842
5.49091666666667 531978.460924517 4.60046640090237 616573.484848298 4.98492319767155
5.86883333333333 622686.017382417 4.8189285698828 672755.693498606 5.26830920816691
6.04125 603752.32130904 4.97104241053458 660712.936569545 5.42696218100774
6.97525 738120.312327614 5.56936923857692 776355.355470791 6.16041439672441
6.63875 680513.568654513 5.23293028442137 820839.342165646 5.83284734229819
6.271 553062.836573443 5.12637946051006 667997.38568264 5.59846659078902
5.69591666666667 504561.60912453 4.63612882672195 587634.114573955 5.08485392507937
5.20333333333333 472862.684106127 4.42039440927667 557335.298932497 4.7533845266386
5.41016666666667 539277.076523148 4.53112552667119 548579.169496558 4.90481997303404
5.546 540318.577069435 4.59915153869742 695681.592344644 5.00838463609532
6.0065 582395.391406607 4.90806065045741 644034.622520994 5.34338315717962
5.1085 477291.642995045 4.30247795739533 716371.86797836 4.65306966151508
6.18491666666667 595138.867195127 5.04538574101797 699669.258651781 5.52376804528446
5.92933333333333 517416.448872797 4.84344323361438 706300.734772062 5.29402583101712
6.18191666666667 665328.873381631 4.98899062303327 667183.261378276 5.50240880519765
5.86533333333333 568166.790855958 4.86986370198144 670773.627731498 5.28660813179222
6.3065 571119.950979112 5.08680588392703 755469.603188756 5.59636553990293
6.69991666666667 578226.491873508 5.28214935450129 717910.379904785 5.85479144027762
6.414 652255.87632832 5.19328612176679 656057.498776146 5.69613565151705
6.02391666666667 549042.022046033 4.87434220879657 551864.09771117 5.35007959312702
6.06983333333333 598911.689735723 4.99650606405481 728197.394078829 5.45524842942744
5.67083333333333 469527.79999895 4.68958882876537 608464.828277052 5.08674076619879
5.85375 646964.445380017 4.82016245047861 662281.11754285 5.26061003498164
5.75141666666667 521820.667225044 4.7096772011515 671284.779105598 5.1508062929455
6.53366666666667 590375.752870548 5.27506876514661 650141.680705631 5.79268034047099
6.66791666666667 661833.450916159 5.3679435275174 605720.152543571 5.88770806958885
5.95408333333333 570514.454730113 4.89073087045128 723084.705687276 5.33457833573527
6.57866666666667 645611.524677456 5.2296856275785 706320.210895747 5.79534714957328
5.89266666666667 481285.79934874 4.81776937480815 681628.055553963 5.28324842884104
4.90475 458795.427627045 4.23698573939155 652598.892466748 4.53611658923706
5.98008333333333 541687.721584707 4.91166665438491 678271.701966723 5.34649278054766
7.2505 686324.877723194 5.66552465127538 871693.946224195 6.31913174328961
6.12683333333333 539470.629875017 5.00452538802184 578661.400967522 5.48293020439896
5.9045 573128.648131135 4.84038868465499 657176.524088601 5.28009314357424
5.77191666666667 509402.761890368 4.71202362141504 597772.143780982 5.1501498382277
5.611 456657.095752465 4.66830039403015 570523.508120441 5.075791982992
6.88533333333333 664112.187725975 5.43787782615883 726617.416947718 6.02913789365631
5.46325 520945.991819121 4.52957693319819 588523.927866181 4.91606983857892
6.082 577038.455058587 5.00420322209681 580920.922092621 5.45358823532475
6.30058333333333 610734.903842471 5.09014100212035 666706.361836812 5.59833288615104
6.14891666666667 543208.015123646 5.04475718051167 791565.509035964 5.49559783466738
5.43475 539525.86992486 4.61403493685153 577927.37857273 4.98122545177977
5.56791666666667 523541.417388963 4.59236151854009 649088.875502163 5.01249556458016
6.42916666666667 667843.151171131 5.14096059067953 717785.524259515 5.69468916257933
